workers,target_pages,crawled_pages,documents_stored,total_time_seconds,failed_fetch_attempts,duplicate_urls_filtered,links_extracted,links_added,recovered_urls,frontier_size_after_run,processing_size_after_run,pages_per_second,worker_contribution_json,speedup,parallel_efficiency
1,200,203,203,9.439103799988516,20,846,1312,466,0,283,0,21.50627901774393,"[{""_id"": ""eval-1-1"", ""pages"": 203}]",1.0,1.0
2,200,209,209,4.361378200002946,20,858,1336,478,0,289,0,47.92063206072311,"[{""_id"": ""eval-2-1"", ""pages"": 105}, {""_id"": ""eval-2-2"", ""pages"": 104}]",2.1642479434556123,1.0821239717278062
3,200,211,211,3.8824046999798156,20,862,1344,482,0,291,0,54.34776029430857,"[{""_id"": ""eval-3-1"", ""pages"": 65}, {""_id"": ""eval-3-2"", ""pages"": 71}, {""_id"": ""eval-3-3"", ""pages"": 75}]",2.431251899122621,0.8104172997075403
4,200,221,221,3.51657699997304,20,885,1390,505,0,304,0,62.84520430000376,"[{""_id"": ""eval-4-1"", ""pages"": 50}, {""_id"": ""eval-4-2"", ""pages"": 53}, {""_id"": ""eval-4-3"", ""pages"": 59}, {""_id"": ""eval-4-4"", ""pages"": 59}]",2.6841737860598194,0.6710434465149548
5,200,222,222,3.4874683000380173,20,888,1396,508,0,306,0,63.65649259022081,"[{""_id"": ""eval-5-1"", ""pages"": 44}, {""_id"": ""eval-5-2"", ""pages"": 40}, {""_id"": ""eval-5-3"", ""pages"": 45}, {""_id"": ""eval-5-4"", ""pages"": 46}, {""_id"": ""eval-5-5"", ""pages"": 47}]",2.706577662622946,0.5413155325245892
6,200,218,218,3.0771522999857552,20,879,1376,497,0,299,0,70.84472224563248,"[{""_id"": ""eval-6-1"", ""pages"": 38}, {""_id"": ""eval-6-2"", ""pages"": 33}, {""_id"": ""eval-6-3"", ""pages"": 38}, {""_id"": ""eval-6-4"", ""pages"": 36}, {""_id"": ""eval-6-5"", ""pages"": 38}, {""_id"": ""eval-6-6"", ""pages"": 35}]",3.0674802154031218,0.511246702567187
7,200,223,223,3.122479299956467,20,894,1406,512,0,309,0,71.41760715695025,"[{""_id"": ""eval-7-1"", ""pages"": 34}, {""_id"": ""eval-7-2"", ""pages"": 30}, {""_id"": ""eval-7-3"", ""pages"": 32}, {""_id"": ""eval-7-4"", ""pages"": 36}, {""_id"": ""eval-7-5"", ""pages"": 31}, {""_id"": ""eval-7-6"", ""pages"": 28}, {""_id"": ""eval-7-7"", ""pages"": 32}]",3.0229516013509246,0.4318502287644178
8,200,228,228,3.2500592000433244,20,908,1434,526,0,318,0,70.1525682968977,"[{""_id"": ""eval-8-1"", ""pages"": 27}, {""_id"": ""eval-8-2"", ""pages"": 34}, {""_id"": ""eval-8-3"", ""pages"": 30}, {""_id"": ""eval-8-4"", ""pages"": 24}, {""_id"": ""eval-8-5"", ""pages"": 28}, {""_id"": ""eval-8-6"", ""pages"": 31}, {""_id"": ""eval-8-7"", ""pages"": 29}, {""_id"": ""eval-8-8"", ""pages"": 25}]",2.904286728027197,0.36303584100339964
9,200,241,241,3.314334800001234,20,944,1508,564,3,345,0,72.71444031541722,"[{""_id"": ""eval-9-1"", ""pages"": 29}, {""_id"": ""eval-9-2"", ""pages"": 25}, {""_id"": ""eval-9-3"", ""pages"": 30}, {""_id"": ""eval-9-4"", ""pages"": 25}, {""_id"": ""eval-9-5"", ""pages"": 23}, {""_id"": ""eval-9-6"", ""pages"": 25}, {""_id"": ""eval-9-7"", ""pages"": 31}, {""_id"": ""eval-9-8"", ""pages"": 27}, {""_id"": ""eval-9-9"", ""pages"": 26}]",2.8479632775738293,0.3164403641748699
10,200,235,235,3.3392567999544553,20,925,1470,545,1,331,0,70.37494091595627,"[{""_id"": ""eval-10-1"", ""pages"": 24}, {""_id"": ""eval-10-10"", ""pages"": 21}, {""_id"": ""eval-10-2"", ""pages"": 27}, {""_id"": ""eval-10-3"", ""pages"": 25}, {""_id"": ""eval-10-4"", ""pages"": 28}, {""_id"": ""eval-10-5"", ""pages"": 20}, {""_id"": ""eval-10-6"", ""pages"": 25}, {""_id"": ""eval-10-7"", ""pages"": 25}, {""_id"": ""eval-10-8"", ""pages"": 21}, {""_id"": ""eval-10-9"", ""pages"": 19}]",2.82670796690966,0.282670796690966
11,200,245,245,3.398044200032018,20,955,1530,575,3,351,0,72.10029816495367,"[{""_id"": ""eval-11-1"", ""pages"": 22}, {""_id"": ""eval-11-10"", ""pages"": 22}, {""_id"": ""eval-11-11"", ""pages"": 22}, {""_id"": ""eval-11-2"", ""pages"": 28}, {""_id"": ""eval-11-3"", ""pages"": 20}, {""_id"": ""eval-11-4"", ""pages"": 25}, {""_id"": ""eval-11-5"", ""pages"": 25}, {""_id"": ""eval-11-6"", ""pages"": 20}, {""_id"": ""eval-11-7"", ""pages"": 19}, {""_id"": ""eval-11-8"", ""pages"": 20}, {""_id"": ""eval-11-9"", ""pages"": 22}]",2.7778048913841604,0.25252771739856006
12,200,244,244,3.259427000011783,20,944,1516,572,0,348,0,74.85978363654652,"[{""_id"": ""eval-12-1"", ""pages"": 23}, {""_id"": ""eval-12-10"", ""pages"": 15}, {""_id"": ""eval-12-11"", ""pages"": 19}, {""_id"": ""eval-12-12"", ""pages"": 16}, {""_id"": ""eval-12-2"", ""pages"": 24}, {""_id"": ""eval-12-3"", ""pages"": 24}, {""_id"": ""eval-12-4"", ""pages"": 26}, {""_id"": ""eval-12-5"", ""pages"": 19}, {""_id"": ""eval-12-6"", ""pages"": 22}, {""_id"": ""eval-12-7"", ""pages"": 21}, {""_id"": ""eval-12-8"", ""pages"": 20}, {""_id"": ""eval-12-9"", ""pages"": 15}]",2.89593962372969,0.24132830197747415
13,200,259,259,3.608950499969069,20,986,1597,611,1,372,0,71.76601618731534,"[{""_id"": ""eval-13-1"", ""pages"": 22}, {""_id"": ""eval-13-10"", ""pages"": 21}, {""_id"": ""eval-13-11"", ""pages"": 19}, {""_id"": ""eval-13-12"", ""pages"": 17}, {""_id"": ""eval-13-13"", ""pages"": 19}, {""_id"": ""eval-13-2"", ""pages"": 18}, {""_id"": ""eval-13-3"", ""pages"": 20}, {""_id"": ""eval-13-4"", ""pages"": 23}, {""_id"": ""eval-13-5"", ""pages"": 21}, {""_id"": ""eval-13-6"", ""pages"": 19}, {""_id"": ""eval-13-7"", ""pages"": 17}, {""_id"": ""eval-13-8"", ""pages"": 19}, {""_id"": ""eval-13-9"", ""pages"": 24}]",2.6154705641070484,0.20119004339284988
